Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YrSold,SalePrice
289,9819,5,5,1967,1967,Y,900,0,900,1,0,3,1,5,0,1,280,2010,122000
290,8730,6,7,1915,2003,Y,698,698,1396,1,0,3,1,7,0,1,384,2007,153575
291,15611,8,5,2006,2006,Y,1079,840,1919,2,1,3,1,8,1,2,685,2006,233230
292,5687,5,6,1912,2000,N,936,780,1716,2,0,6,1,9,0,0,0,2008,135900
293,11409,5,4,1949,2008,Y,1148,568,1716,1,1,3,1,8,1,1,281,2009,131000
294,16659,7,7,1977,1994,Y,1468,795,2263,2,1,3,1,9,1,2,539,2006,235000
295,9600,6,5,1953,1953,Y,1644,0,1644,1,0,3,1,7,2,2,418,2009,167000
296,7937,6,6,1984,1984,Y,1003,0,1003,1,0,3,1,6,0,2,588,2006,142500
297,13710,5,5,1950,1950,Y,910,648,1558,1,1,4,1,6,0,1,282,2007,152000
298,7399,7,5,1997,1998,Y,975,975,1950,2,1,3,1,7,1,2,576,2007,239000
299,11700,6,6,1968,1968,Y,1041,702,1743,1,2,3,1,7,1,2,539,2007,175000
300,14000,6,8,1950,2004,Y,1152,0,1152,1,0,3,1,6,1,1,300,2009,158500
301,15750,5,5,1953,1953,Y,1336,0,1336,1,0,2,1,5,2,1,375,2006,157000
302,16226,8,5,1998,1999,Y,1210,1242,2452,2,1,4,1,9,1,2,683,2007,267000
303,13704,7,5,2001,2002,Y,1541,0,1541,2,0,3,1,6,1,3,843,2006,205000
304,9800,5,7,1972,1972,Y,894,0,894,1,0,3,1,5,0,2,552,2006,149900
305,18386,7,9,1880,2002,Y,1675,1818,3493,3,0,3,1,10,1,3,870,2008,295000
306,10386,8,5,2004,2005,Y,2000,0,2000,2,0,3,1,8,0,3,888,2007,305900
307,13474,7,5,1990,1991,Y,1122,1121,2243,2,1,4,1,8,1,3,746,2007,225000
308,7920,6,7,1920,1950,Y,1035,371,1406,1,0,3,1,6,0,0,0,2008,89500
309,12342,4,5,1940,1950,Y,861,0,861,1,0,1,1,4,0,2,539,2009,82500
310,12378,9,5,2003,2004,Y,1944,0,1944,2,0,3,1,8,3,3,708,2006,360000
311,7685,6,5,1993,1994,Y,697,804,1501,2,1,3,1,6,1,2,420,2006,165600
312,8000,6,6,1948,2002,Y,972,0,972,1,0,2,1,5,1,1,240,2009,132000
313,7800,5,7,1939,1950,Y,793,325,1118,1,0,3,1,5,1,2,410,2006,119900
314,215245,7,5,1965,1965,Y,2036,0,2036,2,0,3,1,8,2,2,513,2009,375000
315,9600,7,7,1925,1990,Y,832,809,1641,1,1,3,1,6,1,2,546,2006,178000
316,7795,7,5,2004,2005,Y,716,716,1432,2,1,3,1,6,1,2,432,2009,188500
317,13005,7,7,1980,1980,Y,1153,1200,2353,2,1,4,1,10,1,2,484,2009,260000
318,9000,8,5,2006,2006,Y,1088,871,1959,2,1,3,1,8,1,3,1025,2007,270000
319,9900,7,5,1993,1993,Y,1372,1274,2646,2,1,4,1,9,1,3,656,2009,260000
320,14115,7,5,1980,1980,Y,1472,0,1472,2,0,3,1,6,2,2,588,2009,187500
321,16259,9,5,2006,2006,Y,1249,1347,2596,3,1,4,1,9,0,3,840,2006,342643
322,12099,8,5,2004,2004,Y,1136,1332,2468,2,1,4,1,10,1,3,872,2007,354000
323,10380,7,5,1986,1987,Y,1553,1177,2730,2,1,4,1,8,1,2,576,2007,301000
324,5820,3,8,1955,2005,Y,1163,0,1163,1,0,3,1,6,0,1,220,2006,126175
325,11275,7,7,1967,2007,Y,1898,1080,2978,2,1,5,1,11,1,2,564,2010,242000
326,5000,5,6,1941,1950,N,803,0,803,1,0,2,1,5,0,2,360,2007,87000
327,10846,8,5,1993,1993,Y,1719,0,1719,1,1,1,1,6,2,2,473,2008,324000
328,11600,6,5,1960,1960,Y,1383,0,1383,1,1,3,1,7,0,1,292,2006,145250
329,11888,6,6,1916,1994,N,1445,689,2134,2,0,5,1,10,0,2,441,2009,214500
330,6402,5,5,1920,1950,N,596,596,1192,1,0,3,1,6,0,1,189,2009,78000
331,10624,5,4,1964,1964,Y,1728,0,1728,2,0,6,2,10,0,1,352,2007,119000
332,8176,5,6,1958,1992,Y,1056,0,1056,1,0,3,1,6,0,1,308,2007,139000
333,10655,8,5,2003,2004,Y,1629,0,1629,2,0,3,1,7,1,3,880,2009,284000
334,8198,7,5,2004,2004,Y,1358,0,1358,2,0,2,1,6,1,2,484,2008,207000
335,9042,6,5,1998,1998,Y,943,695,1638,2,1,3,1,7,2,2,472,2008,192000
336,164660,5,6,1965,1965,Y,1619,167,1786,2,0,3,1,7,2,2,529,2008,228950
337,14157,9,5,2005,2006,Y,1922,0,1922,2,0,3,1,8,1,3,676,2007,377426
338,9135,7,5,2002,2003,Y,1536,0,1536,2,0,3,1,7,0,2,532,2008,214000
339,14145,7,7,1984,1998,Y,1621,0,1621,2,0,3,1,8,0,2,440,2006,202500
340,12400,6,7,1958,1998,Y,1215,0,1215,1,0,3,1,6,0,1,297,2009,155000
341,14191,8,5,2002,2002,Y,993,915,1908,2,1,4,1,9,0,2,431,2010,202900
342,8400,4,4,1950,1950,Y,841,0,841,1,0,2,1,4,0,1,294,2009,82000
343,8544,3,4,1949,1950,N,1040,0,1040,2,0,2,2,6,0,2,400,2006,87500
344,8849,9,5,2005,2005,Y,1684,0,1684,2,0,2,1,6,1,2,564,2008,266000
345,2592,5,3,1976,1976,Y,536,576,1112,1,1,3,1,4,0,1,336,2010,85000
346,6435,6,5,1939,1950,Y,972,605,1577,1,0,3,1,6,1,1,312,2006,140200
347,12772,6,8,1960,1998,Y,958,0,958,1,0,2,1,5,0,1,301,2007,151500
348,17600,6,5,1960,1960,Y,1478,0,1478,2,0,3,1,6,2,2,498,2009,157500
349,2448,7,5,2003,2004,Y,764,862,1626,2,1,2,1,6,0,2,474,2008,154000
350,20431,9,5,2005,2006,Y,1848,880,2728,2,1,4,1,10,2,3,706,2006,437154
351,7820,9,5,2007,2007,Y,1869,0,1869,2,0,2,1,6,1,2,617,2007,318061
352,5271,7,5,1986,1986,Y,1453,0,1453,1,1,2,1,6,1,2,445,2006,190000
353,9084,5,6,1941,1950,N,616,495,1111,1,0,3,1,5,0,1,200,2008,95000
354,8520,6,8,1928,2003,Y,720,0,720,1,0,2,1,5,0,2,484,2010,105900
355,8400,6,5,1940,2000,Y,1192,403,1595,1,0,2,1,6,2,1,240,2006,140000
356,11249,6,5,1995,1995,Y,1200,0,1200,2,0,3,1,6,0,2,521,2007,177500
357,9248,6,6,1992,1992,Y,1167,0,1167,2,0,3,1,6,0,2,400,2009,173000
358,4224,5,5,1976,1976,Y,1142,0,1142,1,1,3,1,6,1,2,528,2007,134000
359,6930,5,4,1958,1958,Y,1352,0,1352,1,0,3,1,6,0,1,288,2006,130000
360,12011,8,5,1998,1998,Y,1086,838,1924,2,1,3,1,7,1,2,592,2006,280000
361,7540,6,6,1978,1978,Y,912,0,912,1,0,2,1,5,1,2,470,2007,156000
362,9144,5,5,1940,1982,Y,988,517,1505,1,0,3,1,8,0,1,240,2008,145000
363,7301,7,5,2003,2003,Y,495,1427,1922,3,0,4,1,7,1,2,672,2009,198500
364,1680,6,8,1972,2007,Y,483,504,987,1,1,2,1,5,0,1,264,2009,118000
365,18800,6,5,1976,1976,Y,790,784,1574,2,1,3,1,6,1,2,566,2006,190000
366,10690,5,7,1920,1997,Y,672,672,1344,1,0,3,1,6,0,1,468,2009,147000
367,9500,6,5,1963,1963,Y,1394,0,1394,1,1,3,1,6,2,2,514,2009,159000
368,9150,6,5,1962,1962,Y,1431,0,1431,1,0,3,1,6,1,1,296,2008,165000
369,7800,5,6,1954,1954,Y,1268,0,1268,1,0,2,1,7,1,1,244,2010,132000
370,9830,5,7,1959,2006,Y,1287,0,1287,1,0,3,1,7,1,2,576,2010,162000
371,8121,6,5,2000,2000,Y,953,711,1664,2,1,3,1,7,1,2,460,2006,172400
372,17120,4,4,1959,1959,Y,1120,468,1588,2,0,4,1,7,1,2,680,2008,134432
373,7175,6,5,1984,1984,Y,752,0,752,1,0,2,1,4,0,1,264,2010,125000
374,10634,5,6,1953,1953,Y,1319,0,1319,1,0,3,1,5,0,1,270,2009,123000
375,8200,7,5,2003,2004,Y,847,1081,1928,2,1,4,1,8,1,2,434,2007,219500
376,10020,1,1,1922,1950,N,904,0,904,0,1,1,1,4,0,0,0,2009,61000
377,8846,5,5,1996,1996,Y,914,0,914,1,0,2,1,5,0,2,576,2006,148000
378,11143,8,5,2004,2005,Y,1580,886,2466,3,0,4,1,8,1,2,610,2007,340000
379,11394,9,2,2010,2010,Y,1856,0,1856,1,1,1,1,8,1,3,834,2010,394432
380,8123,6,5,2000,2000,Y,1007,793,1800,2,1,3,1,7,1,2,463,2009,179000
381,5000,5,6,1924,1950,Y,1026,665,1691,2,0,3,1,6,1,1,308,2010,127000
382,7200,7,5,2006,2006,Y,1301,0,1301,2,0,2,1,5,1,2,572,2006,187750
383,9245,7,5,2006,2006,Y,939,858,1797,2,1,3,1,8,0,2,639,2007,213500
384,9000,6,3,1928,1950,N,784,0,784,1,0,2,1,5,0,2,360,2009,76000
385,53107,6,5,1992,1992,Y,1079,874,1953,2,1,3,1,9,2,2,501,2007,240000
386,3182,8,5,2004,2005,Y,1269,0,1269,2,0,2,1,6,1,2,430,2010,192000
387,8410,5,3,1910,1996,Y,658,526,1184,1,0,5,1,8,0,0,0,2006,81000
388,7200,6,6,1976,1976,Y,1125,0,1125,1,0,3,1,6,1,1,352,2009,125000
389,9382,7,5,1999,2000,Y,1479,0,1479,2,0,3,1,6,0,2,577,2008,191000
390,12474,10,5,2007,2008,Y,1742,590,2332,2,1,3,1,9,1,3,846,2008,426000
391,8405,5,8,1900,1950,Y,961,406,1367,1,0,4,1,7,0,1,384,2008,119000
392,12209,6,5,2001,2002,Y,804,1157,1961,2,1,3,1,7,1,2,560,2009,215000
393,8339,5,7,1959,1959,Y,882,0,882,1,0,3,1,5,0,1,294,2007,106500
394,7446,4,5,1941,1950,Y,788,0,788,1,0,2,1,4,2,0,0,2006,100000
395,10134,5,6,1940,1950,Y,735,299,1034,1,0,2,1,5,0,1,240,2007,109000
396,9571,5,6,1956,1956,Y,1144,0,1144,1,0,3,1,6,0,1,596,2010,129000
397,7200,5,5,1972,1972,Y,894,0,894,1,0,2,1,6,0,2,600,2009,123000
398,7590,5,5,1962,1962,Y,876,936,1812,2,0,4,1,8,1,1,264,2007,169500
399,8967,5,2,1920,1950,Y,1077,0,1077,1,0,2,1,6,0,1,338,2007,67000
400,8125,7,5,2006,2007,Y,1112,438,1550,2,0,2,1,7,0,2,438,2009,241000
401,14963,8,5,1996,1996,Y,1288,0,1288,1,1,1,1,4,2,2,500,2008,245500
402,8767,7,5,2005,2005,Y,1310,0,1310,2,0,3,1,6,1,2,400,2006,164990
403,10200,5,8,1940,1997,Y,672,0,672,1,0,2,1,4,0,1,240,2008,108000
404,12090,8,5,1998,1998,Y,1165,1098,2263,2,1,4,1,10,1,2,420,2006,258000
405,10364,6,5,1995,1996,Y,806,766,1572,2,1,3,1,7,1,2,373,2007,168000
406,9991,4,4,1976,1993,Y,1620,0,1620,2,0,3,1,8,1,2,490,2009,150000
407,10480,6,5,1936,1950,Y,1166,0,1639,1,0,3,1,6,0,1,240,2008,115000
408,15576,6,7,1915,1976,Y,840,840,1680,2,0,4,1,8,0,1,308,2008,177000
409,14154,7,5,2006,2006,Y,1071,1101,2172,2,1,3,1,9,1,3,947,2007,280000
410,10800,8,5,2007,2008,Y,1050,1028,2078,2,1,3,1,8,1,3,836,2008,339750
411,9571,5,3,1958,1958,Y,1276,0,1276,1,0,3,1,5,0,1,350,2009,60000
412,34650,5,5,1955,1955,N,1056,0,1056,1,0,3,1,5,0,2,572,2006,145000
413,4403,7,5,2009,2009,Y,1478,0,1478,2,1,2,1,7,1,2,484,2010,222000
414,8960,5,6,1927,1950,Y,1028,0,1028,1,0,2,1,5,1,2,360,2010,115000
415,11228,7,5,1993,1993,Y,1080,1017,2097,2,1,3,1,9,1,3,678,2008,228000
416,8899,7,5,2007,2007,Y,1340,0,1340,2,0,3,1,6,0,2,396,2007,181134
417,7844,6,7,1978,1978,Y,672,728,1400,1,1,3,1,6,1,2,440,2006,149500
418,22420,6,6,1918,1950,N,1370,1254,2624,2,1,4,1,10,1,3,864,2007,239000
419,8160,5,6,1940,1950,N,756,378,1134,1,1,3,1,7,0,1,240,2007,126000
420,8450,5,6,1968,1968,Y,1056,0,1056,1,0,3,1,6,1,1,304,2010,142000
421,7060,7,5,1997,1998,Y,1344,0,1344,2,0,2,2,8,0,4,784,2008,206300
422,16635,6,7,1977,2000,Y,1602,0,1602,2,0,3,1,8,1,2,529,2009,215000
423,21750,5,5,1954,1954,Y,988,0,988,1,0,2,1,4,0,2,520,2008,113000
424,9200,8,5,1998,1998,Y,1470,1160,2630,2,1,4,1,8,1,3,696,2008,315000
425,9000,6,5,1956,1956,Y,1196,0,1196,1,0,2,1,6,1,1,297,2008,139000
426,3378,7,8,1946,1992,Y,707,682,1389,1,1,3,1,6,2,1,240,2009,135000
427,12800,7,5,1989,1989,Y,1644,0,1644,2,0,2,1,5,1,2,569,2009,275000
428,8593,4,6,1957,1957,Y,907,0,907,1,0,3,1,5,0,1,352,2008,109008
429,6762,7,5,2007,2007,Y,1208,0,1208,2,0,2,1,6,0,2,628,2007,195400
430,11457,6,5,1988,1988,Y,1412,0,1412,2,0,3,1,6,1,2,576,2009,175000
431,1680,6,5,1971,1971,Y,483,504,987,1,1,2,1,4,0,1,264,2008,85400
432,5586,6,7,1920,1998,Y,1088,110,1198,1,0,4,1,7,0,0,0,2008,79900
433,1920,5,5,1971,1971,Y,765,600,1365,1,1,2,1,6,0,2,440,2007,122500
434,10839,6,5,1997,1998,Y,926,678,1604,2,1,3,1,7,1,2,470,2008,181000
435,1890,4,7,1972,1972,Y,630,0,630,1,0,1,1,3,0,0,0,2008,81000
436,10667,7,6,1996,1996,Y,827,834,1661,2,1,3,1,6,1,2,550,2009,212000
437,4400,6,8,1920,1950,Y,734,384,1118,1,0,2,1,6,0,2,440,2006,116000
438,6000,6,7,1926,2004,Y,904,0,904,1,0,2,1,4,0,1,180,2009,119000
439,4280,5,6,1913,2002,N,694,0,694,1,0,2,1,4,1,1,352,2007,90350
440,12354,6,8,1920,2000,Y,684,512,1196,1,0,3,1,7,0,2,528,2009,110000
441,15431,10,5,2008,2008,Y,2402,0,2402,2,0,2,1,10,2,3,672,2009,555000
442,12108,4,4,1955,1955,N,1440,0,1440,2,0,4,2,8,0,0,0,2008,118000
443,6240,5,7,1930,1992,Y,1128,445,1573,2,0,3,1,8,1,2,360,2008,162900
444,3922,7,5,2006,2007,Y,1258,0,1258,2,0,2,1,6,1,3,648,2007,172500
445,8750,7,5,1994,1995,Y,933,975,1908,2,1,4,1,8,1,2,493,2008,210000
446,9855,6,5,1956,1956,Y,1689,0,1689,1,0,3,1,7,1,2,480,2009,127500
447,16492,6,6,1966,2002,Y,1888,0,1888,2,1,2,1,6,1,2,578,2010,190000
448,11214,7,5,1998,1999,Y,956,930,1886,2,1,4,1,10,1,2,431,2006,199900
449,8600,6,6,1937,1950,Y,780,596,1376,2,0,3,1,7,1,1,198,2006,119500
450,6000,3,7,1948,2002,Y,679,504,1183,1,1,2,1,6,0,1,308,2007,120000
451,5684,6,8,1930,2005,Y,813,0,813,1,0,2,1,5,0,1,270,2006,110000
452,70761,7,5,1975,1975,Y,1533,0,1533,2,0,2,1,5,2,2,576,2006,280000
453,9303,6,5,1996,1997,Y,888,868,1756,2,1,3,1,7,0,2,422,2007,204000
454,9000,8,5,2008,2008,Y,786,804,1590,2,1,3,1,6,0,2,676,2009,210000
455,9297,5,5,1976,1976,Y,1728,0,1728,2,0,4,2,8,0,2,560,2006,188000
456,9600,7,6,1973,1973,Y,1242,0,1242,1,1,3,1,6,1,2,528,2007,175500
457,4571,5,5,1916,1950,N,624,720,1344,1,0,4,1,7,0,3,513,2008,98000
458,53227,4,6,1954,1994,Y,1663,0,1663,1,0,2,1,6,2,2,529,2008,256000
459,5100,8,7,1925,1996,Y,833,833,1666,1,0,3,1,7,1,1,228,2008,161000
460,7015,5,4,1950,1950,Y,979,224,1203,1,0,3,1,5,1,1,352,2009,110000
461,8004,8,5,2009,2009,Y,832,1103,1935,2,1,3,1,8,0,2,552,2009,263435
462,7200,7,9,1936,2007,Y,575,560,1135,1,0,3,1,6,0,2,576,2009,155000
463,8281,5,5,1965,1965,Y,864,0,864,1,0,3,1,5,1,1,360,2009,62383
464,11988,6,7,1934,1995,Y,849,811,1660,1,1,3,1,6,1,1,240,2008,188700
465,8430,5,5,1978,1978,Y,1040,0,1040,2,0,3,1,5,0,0,0,2009,124000
466,3072,7,5,2004,2004,Y,1414,0,1414,2,0,2,1,6,1,2,398,2006,178740
467,10628,7,5,1970,1970,Y,1277,0,1277,1,0,2,1,5,1,2,526,2007,167000
468,9480,5,7,1942,1995,Y,888,756,1644,1,1,3,1,7,2,1,312,2007,146500
469,11428,8,5,2006,2006,Y,1634,0,1634,2,0,3,1,7,1,3,866,2007,250000
470,9291,6,5,1993,1993,Y,832,878,1710,2,1,3,1,7,0,2,506,2008,187000
471,6820,8,5,1985,1985,Y,1502,0,1502,1,1,1,1,4,0,2,528,2010,212000
472,11952,7,6,1977,1977,Y,1161,808,1969,2,1,3,1,8,1,2,534,2007,190000
473,3675,6,5,2005,2005,Y,1072,0,1072,1,0,2,1,5,0,2,525,2008,148000
474,14977,8,5,2006,2007,Y,1976,0,1976,2,0,2,1,7,1,3,908,2007,440000
475,5330,8,5,2000,2000,Y,1652,0,1652,2,0,2,1,6,0,2,499,2007,251000
476,8480,5,6,1963,1963,Y,970,0,970,1,0,2,1,5,0,2,624,2007,132500
477,13125,6,5,1997,1998,Y,1493,0,1493,2,0,3,1,7,1,2,508,2008,208900
478,13693,9,5,2006,2006,Y,2069,574,2643,2,1,3,1,9,1,3,694,2007,380000
479,10637,8,5,2007,2008,Y,1718,0,1718,2,0,3,1,7,1,3,826,2009,297000
480,5925,4,7,1937,2000,Y,1131,0,1131,1,0,2,1,7,0,2,672,2007,89471
481,16033,9,5,2004,2005,Y,1850,0,1850,2,0,3,1,8,1,3,772,2006,326000
482,11846,9,5,2003,2004,Y,1792,0,1792,2,0,2,1,6,1,3,874,2006,374000
483,2500,7,8,1915,2005,Y,916,910,1826,1,1,4,1,7,1,1,164,2009,155000
484,4500,6,5,1998,1998,Y,1216,0,1216,2,0,2,1,5,0,2,402,2006,164000
485,7758,5,7,1962,2001,Y,999,0,999,1,0,3,1,6,0,1,264,2007,132500
486,9600,5,7,1950,2007,Y,1113,0,1113,1,0,3,1,5,1,1,264,2009,147000
487,10289,5,7,1965,1965,Y,1073,0,1073,1,1,3,1,6,0,2,515,2007,156000
488,12243,5,6,1971,1971,Y,1484,0,1484,2,0,3,1,7,1,2,487,2007,175000
489,10800,5,4,1900,1970,N,1766,648,2414,2,0,3,2,10,1,2,520,2006,160000
490,1526,4,8,1970,2002,Y,630,0,630,1,0,1,1,3,0,1,286,2009,86000
491,2665,5,6,1976,1976,Y,616,688,1304,1,1,3,1,4,1,1,336,2008,115000
492,9490,6,7,1941,1950,Y,958,620,1578,1,0,3,1,5,2,1,240,2006,133000
493,15578,6,5,2006,2006,Y,728,728,1456,2,1,3,1,8,0,2,429,2006,172785
494,7931,5,6,1960,1960,Y,1269,0,1269,1,1,3,1,6,1,1,308,2008,155000
495,5784,5,8,1938,1996,Y,886,0,886,1,0,2,1,4,0,1,273,2009,91300
496,7879,4,5,1920,1950,N,720,0,720,1,0,2,1,4,0,0,0,2009,34900
497,12692,8,5,1992,1993,Y,3228,0,3228,3,0,4,1,10,1,2,546,2007,430000
498,9120,7,6,1925,1950,Y,1133,687,1820,2,0,4,1,8,0,1,240,2008,184000
499,7800,5,7,1967,2004,Y,899,0,899,1,0,3,1,5,0,1,288,2009,130000
500,7535,5,7,1958,1985,Y,912,0,912,1,0,2,1,5,0,1,297,2007,120000
501,1890,6,5,1973,1973,Y,672,546,1218,1,1,3,1,7,0,1,264,2007,113000
502,9803,7,5,2005,2005,Y,866,902,1768,2,1,3,1,7,0,2,603,2008,226700
503,9170,5,7,1965,1965,Y,1214,0,1214,1,0,2,1,6,0,2,461,2007,140000
504,15602,7,8,1959,1997,Y,1801,0,1801,2,0,1,1,6,2,2,484,2010,289000
505,2308,6,5,1974,1974,Y,855,467,1322,2,1,3,1,6,1,2,440,2009,147000
506,7596,5,5,1952,1952,Y,960,1000,1960,2,0,4,2,10,0,2,400,2009,124500
507,9554,8,5,1993,1994,Y,1065,846,1911,2,1,3,1,8,1,2,471,2006,215000
508,7862,6,5,2009,2009,Y,1218,0,1218,2,0,2,1,4,0,2,676,2009,208300
509,9600,7,9,1928,2005,Y,689,689,1378,2,0,3,1,7,1,2,360,2008,161000
510,9600,5,6,1959,1959,Y,1041,0,1041,1,0,3,1,6,0,1,270,2009,124500
511,14559,5,7,1951,2000,Y,1363,0,1363,1,0,2,1,6,2,1,288,2009,164900
512,6792,7,5,2005,2006,Y,1368,0,1368,2,0,2,1,6,1,2,474,2006,202665
513,9100,5,5,1958,1958,Y,864,0,864,1,0,3,1,5,0,2,624,2006,129900
514,9187,6,5,1983,1983,Y,1080,0,1080,1,1,3,1,5,0,2,484,2007,134000
515,10594,5,5,1926,1950,N,789,0,789,1,0,2,1,5,0,1,200,2007,96500
516,12220,10,5,2009,2009,Y,2020,0,2020,2,1,3,1,9,1,3,900,2009,402861
517,10448,6,6,1972,1972,Y,1378,741,2119,2,1,3,1,7,1,2,583,2009,158000
518,10208,7,5,1996,1997,Y,1277,1067,2344,2,1,3,1,7,1,3,889,2009,265000
519,9531,6,5,1998,1998,Y,882,914,1796,2,1,3,1,7,0,2,546,2007,211000
520,10918,7,9,1926,2004,Y,1276,804,2080,1,1,3,1,9,2,1,282,2009,234000
521,10800,4,7,1900,2000,N,694,600,1294,2,0,3,2,7,0,0,0,2008,106250
522,11988,6,6,1957,1957,Y,1244,0,1244,1,1,3,1,6,2,1,336,2007,150000
523,5000,6,7,1947,1950,Y,1004,660,1664,2,0,3,1,7,2,2,420,2006,159000
524,40094,10,5,2007,2008,Y,3138,1538,4676,3,1,3,1,11,1,3,884,2007,184750
525,11787,7,5,1996,1997,Y,1383,1015,2398,2,1,3,1,8,1,3,834,2007,315750
526,7500,7,5,2005,2005,Y,1266,0,1266,2,0,3,1,6,1,2,453,2006,176000
527,13300,5,7,1956,2000,Y,928,0,928,1,0,2,1,4,0,1,252,2007,132000
528,14948,9,5,2008,2008,Y,1476,1237,2713,2,1,3,1,11,1,3,858,2008,446261
529,9098,4,7,1920,2002,Y,605,0,605,1,0,2,1,5,0,0,0,2007,86000
530,32668,6,3,1957,1975,Y,2515,0,2515,3,0,4,2,9,2,2,484,2007,200624
531,10200,6,5,1988,1989,Y,1509,0,1509,2,0,3,1,5,1,2,600,2008,175000
532,6155,6,8,1920,1999,Y,751,611,1362,2,0,3,1,6,0,2,502,2008,128000
533,7200,5,7,1955,2007,Y,827,0,827,1,0,2,1,5,1,1,392,2010,107500
534,5000,1,3,1946,1950,N,334,0,334,1,0,1,1,2,0,0,0,2007,39300
535,9056,8,5,2004,2004,Y,707,707,1414,2,1,3,1,6,1,2,403,2006,178000
536,7000,5,7,1910,1991,Y,820,527,1347,1,0,3,1,5,0,0,0,2008,107500
537,8924,7,5,1998,1999,Y,880,844,1724,2,1,3,1,8,0,2,527,2008,188000
538,12735,4,5,1972,1972,Y,864,0,864,1,0,3,1,5,0,2,576,2008,111250
539,11553,5,5,1968,1968,Y,1159,0,1159,1,1,3,1,7,1,1,336,2006,158000
540,11423,8,5,2001,2002,Y,1601,0,1601,2,0,3,1,6,1,2,670,2010,272000
541,14601,9,5,2006,2006,Y,1838,0,1838,2,0,2,1,8,1,3,765,2009,315000
542,11000,8,5,2000,2000,Y,997,1288,2285,2,1,4,1,8,1,3,648,2007,248000
543,10140,7,5,1998,1999,Y,1680,0,1680,2,0,3,1,7,1,2,583,2009,213250
544,4058,7,5,1998,1998,Y,767,0,767,1,0,1,1,4,0,1,367,2007,133000
545,17104,7,5,2006,2006,Y,664,832,1496,2,1,3,1,7,1,2,426,2006,179665
546,13837,7,5,1988,1988,Y,1377,806,2183,2,1,4,1,9,0,3,786,2006,229000
547,8737,6,7,1923,1950,Y,915,720,1635,1,1,3,1,6,1,2,440,2007,210000
548,7244,5,7,1970,1970,Y,768,0,768,1,0,2,1,5,0,2,624,2007,129500
549,8235,5,7,1955,1995,Y,825,0,825,1,0,2,1,4,0,2,720,2008,125000
550,9375,7,5,2003,2004,Y,912,1182,2094,2,1,4,1,8,1,2,615,2009,263000
551,4043,6,6,1977,1977,Y,1069,0,1069,2,0,2,1,4,0,2,440,2008,140000
552,6000,5,6,1957,1957,Y,928,0,928,1,0,3,1,5,0,1,288,2008,112500
553,11146,8,5,2006,2006,Y,1717,0,1717,2,0,3,1,7,1,3,908,2009,255500
554,8777,4,5,1949,2003,Y,1126,0,1126,2,0,2,1,5,0,2,520,2009,108000
555,10625,7,5,2003,2004,Y,1006,1040,2046,2,1,3,1,8,1,3,871,2008,284000
556,6380,5,6,1922,1950,Y,1048,0,1048,1,0,2,1,5,1,1,280,2006,113000
557,14850,5,5,1957,1957,Y,1092,0,1092,1,0,2,1,6,1,1,299,2006,141000
558,11040,4,6,1920,1950,Y,897,439,1336,1,1,3,1,7,0,1,570,2006,108000
559,21872,7,5,1996,1997,Y,729,717,1446,2,1,3,1,6,1,2,406,2008,175000
560,3196,7,5,2003,2004,Y,1557,0,1557,2,0,2,1,7,1,2,420,2006,234000
561,11341,5,6,1957,1996,Y,1392,0,1392,1,1,3,1,5,1,2,528,2010,121500
562,10010,5,5,1974,1975,Y,1389,0,1389,1,0,2,1,6,1,2,418,2006,170000
563,13907,5,6,1940,1969,Y,996,0,996,1,0,3,1,6,1,0,0,2008,108000
564,21780,6,7,1918,1950,Y,1163,511,1674,2,0,4,1,8,1,2,396,2008,185000
565,13346,7,5,1992,2000,Y,1166,1129,2295,2,1,4,1,9,1,2,590,2006,268000
566,6858,6,4,1915,1950,N,841,806,1647,1,1,4,1,6,0,1,216,2010,128000
567,11198,9,5,2005,2007,Y,1134,1370,2504,2,1,4,1,11,1,3,656,2008,325000
568,10171,7,5,2004,2004,Y,1535,0,1535,2,0,3,1,7,0,2,532,2010,214000
569,12327,8,8,1983,2009,Y,1496,636,2132,1,1,1,1,5,1,2,612,2009,316600
570,7032,5,5,1979,1979,Y,943,0,943,1,0,2,1,4,2,2,600,2006,135960
571,13101,5,5,1965,1965,Y,1728,0,1728,2,0,6,2,10,0,2,576,2008,142600
572,7332,6,6,1959,1959,Y,864,0,864,1,0,2,1,4,0,1,288,2006,120000
573,13159,7,5,2009,2009,Y,846,846,1692,2,1,3,1,6,0,2,650,2009,224500
574,9967,7,5,2000,2000,Y,774,656,1430,2,1,3,1,8,1,2,400,2007,170000
575,10500,5,7,1971,2005,Y,576,533,1109,1,0,3,1,5,0,1,288,2007,139000
576,8480,5,5,1947,1950,Y,832,384,1216,1,0,2,1,6,0,1,336,2008,118500
577,6292,7,7,1928,1950,Y,877,600,1477,2,0,3,1,6,1,1,216,2009,145000
578,11777,5,6,1966,1966,Y,1320,0,1320,1,0,3,1,6,2,2,564,2006,164500
579,3604,7,5,2007,2007,Y,703,689,1392,2,0,2,1,5,0,2,540,2008,146000
580,12150,5,5,1954,1954,N,1050,745,1795,2,0,4,1,7,0,1,352,2008,131500
