w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,y
8,5,225,Y,1050,1028,2,1,3,1,1,3,836,0,6811
5,3,200.42,Y,1276,0,1,0,3,1,0,1,350,51,1216
5,5,702,N,1056,0,1,0,3,1,0,2,572,51,2916
7,5,97.06,Y,1478,0,2,1,2,1,1,2,484,1,4456
5,6,188.2,Y,1028,0,1,0,2,1,1,2,360,60,2316
7,5,233.56,Y,1080,1017,2,1,3,1,1,3,678,15,4576
7,5,186.98,Y,1340,0,2,0,3,1,0,2,396,0,3638.68
6,7,165.88,Y,672,728,1,1,3,1,1,2,440,28,3006
6,6,457.4,N,1370,1254,2,1,4,1,1,3,864,57,4796
5,6,172.2,N,756,378,1,1,3,1,0,1,240,57,2536
5,6,178,Y,1056,0,1,0,3,1,1,1,304,42,2856
7,5,150.2,Y,1344,0,2,0,2,2,0,4,784,10,4142
6,7,341.7,Y,1602,0,2,0,3,1,1,2,529,9,4316
5,5,444,Y,988,0,1,0,2,1,0,2,520,54,2276
8,5,193,Y,1470,1160,2,1,4,1,1,3,696,10,6316
6,5,189,Y,1196,0,1,0,2,1,1,1,297,52,2796
7,8,76.56,Y,707,682,1,1,3,1,2,1,240,17,2716
7,5,265,Y,1644,0,2,0,2,1,1,2,569,20,5516
4,6,180.86,Y,907,0,1,0,3,1,0,1,352,51,2196.16
7,5,144.24,Y,1208,0,2,0,2,1,0,2,628,0,3924
6,5,238.14,Y,1412,0,2,0,3,1,1,2,576,21,3516
6,5,42.6,Y,483,504,1,1,2,1,0,1,264,37,1724
6,7,120.72,Y,1088,110,1,0,4,1,0,0,0,10,1614
5,5,47.4,Y,765,600,1,1,2,1,0,2,440,36,2466
6,5,225.78,Y,926,678,2,1,3,1,1,2,470,10,3636
4,7,46.8,Y,630,0,1,0,1,1,0,0,0,36,1636
7,6,222.34,Y,827,834,2,1,3,1,1,2,550,13,4256
6,8,97,Y,734,384,1,0,2,1,0,2,440,56,2336
6,7,129,Y,904,0,1,0,2,1,0,1,180,5,2396
5,6,94.6,N,694,0,1,0,2,1,1,1,352,5,1823
6,8,256.08,Y,684,512,1,0,3,1,0,2,528,9,2216
10,5,317.62,Y,2402,0,2,0,2,1,2,3,672,1,11116
4,4,251.16,N,1440,0,2,0,4,2,0,0,0,53,2376
5,7,133.8,Y,1128,445,2,0,3,1,1,2,360,16,3274
7,5,87.44,Y,1258,0,2,0,2,1,1,3,648,0,3466
7,5,184,Y,933,975,2,1,4,1,1,2,493,13,4216
6,5,206.1,Y,1689,0,1,0,3,1,1,2,480,53,2566
6,6,338.84,Y,1888,0,2,1,2,1,1,2,578,8,3816
7,5,233.28,Y,956,930,2,1,4,1,1,2,431,7,4014
6,6,181,Y,780,596,2,0,3,1,1,1,198,56,2406
3,7,129,Y,679,504,1,1,2,1,0,1,308,5,2416
6,8,122.68,Y,813,0,1,0,2,1,0,1,270,1,2216
7,5,1424.22,Y,1533,0,2,0,2,1,2,2,576,31,5616
6,5,195.06,Y,888,868,2,1,3,1,0,2,422,10,4096
8,5,189,Y,786,804,2,1,3,1,0,2,676,1,4216
5,5,194.94,Y,1728,0,2,0,4,2,0,2,560,30,3776
7,6,201,Y,1242,0,1,1,3,1,1,2,528,34,3526
5,5,100.42,N,624,720,1,0,4,1,0,3,513,58,1976
4,6,1073.54,Y,1663,0,1,0,2,1,2,2,529,14,5136
8,7,111,Y,833,833,1,0,3,1,1,1,228,12,3236
5,4,149.3,Y,979,224,1,0,3,1,1,1,352,59,2216
8,5,169.08,Y,832,1103,2,1,3,1,0,2,552,0,5284.7
7,9,153,Y,575,560,1,0,3,1,0,2,576,2,3116
5,5,174.62,Y,864,0,1,0,3,1,1,1,360,44,1263.66
6,7,248.76,Y,849,811,1,1,3,1,1,1,240,13,3790
5,5,177.6,Y,1040,0,2,0,3,1,0,0,0,31,2496
7,5,70.44,Y,1414,0,2,0,2,1,1,2,398,2,3590.8
7,5,221.56,Y,1277,0,1,0,2,1,1,2,526,37,3356
5,7,198.6,Y,888,756,1,1,3,1,2,1,312,12,2946
8,5,237.56,Y,1634,0,2,0,3,1,1,3,866,1,5016
6,5,194.82,Y,832,878,2,1,3,1,0,2,506,15,3756
8,5,145.4,Y,1502,0,1,1,1,1,0,2,528,25,4256
7,6,248.04,Y,1161,808,2,1,3,1,1,2,534,30,3816
6,5,82.5,Y,1072,0,1,0,2,1,0,2,525,3,2976
8,5,308.54,Y,1976,0,2,0,2,1,1,3,908,0,8816
8,5,115.6,Y,1652,0,2,0,2,1,0,2,499,7,5036
5,6,178.6,Y,970,0,1,0,2,1,0,2,624,44,2666
6,5,271.5,Y,1493,0,2,0,3,1,1,2,508,10,4194
9,5,282.86,Y,2069,574,2,1,3,1,1,3,694,1,7616
8,5,221.74,Y,1718,0,2,0,3,1,1,3,826,1,5956
4,7,127.5,Y,1131,0,1,0,2,1,0,2,672,7,1805.42
9,5,329.66,Y,1850,0,2,0,3,1,1,3,772,1,6536
9,5,245.92,Y,1792,0,2,0,2,1,1,3,874,2,7496
7,8,59,Y,916,910,1,1,4,1,1,1,164,4,3116
6,5,99,Y,1216,0,2,0,2,1,0,2,402,8,3296
5,7,164.16,Y,999,0,1,0,3,1,0,1,264,6,2666
5,7,201,Y,1113,0,1,0,3,1,1,1,264,2,2956
5,7,214.78,Y,1073,0,1,1,3,1,0,2,515,42,3136
5,6,253.86,Y,1484,0,2,0,3,1,1,2,487,36,3516
5,4,225,N,1766,648,2,0,3,2,1,2,520,36,3216
4,8,39.52,Y,630,0,1,0,1,1,0,1,286,7,1736
5,6,62.3,Y,616,688,1,1,3,1,1,1,336,32,2316
6,7,198.8,Y,958,620,1,0,3,1,2,1,240,56,2676
6,5,320.56,Y,728,728,2,1,3,1,0,2,429,0,3471.7
5,6,167.62,Y,1269,0,1,1,3,1,1,1,308,48,3116
5,8,124.68,Y,886,0,1,0,2,1,0,1,273,13,1842
4,5,166.58,N,720,0,1,0,2,1,0,0,0,59,714
8,5,262.84,Y,3228,0,3,0,4,1,1,2,546,14,8616
7,6,191.4,Y,1133,687,2,0,4,1,0,1,240,58,3696
5,7,165,Y,899,0,1,0,3,1,0,1,288,5,2616
5,7,159.7,Y,912,0,1,0,2,1,0,1,297,22,2416
6,5,46.8,Y,672,546,1,1,3,1,0,1,264,34,2276
7,5,205.06,Y,866,902,2,1,3,1,0,2,603,3,4550
5,7,192.4,Y,1214,0,1,0,2,1,0,2,461,42,2816
7,8,321.04,Y,1801,0,2,0,1,1,2,2,484,13,5796
6,5,55.16,Y,855,467,2,1,3,1,1,2,440,35,2956
5,5,160.92,Y,960,1000,2,0,4,2,0,2,400,57,2506
8,5,200.08,Y,1065,846,2,1,3,1,1,2,471,12,4316
6,5,166.24,Y,1218,0,2,0,2,1,0,2,676,0,4182
7,9,201,Y,689,689,2,0,3,1,1,2,360,3,3236
5,6,201,Y,1041,0,1,0,3,1,0,1,270,50,2506
5,7,300.18,Y,1363,0,1,0,2,1,2,1,288,9,3314
7,5,144.84,Y,1368,0,2,0,2,1,1,2,474,0,4069.3
5,5,191,Y,864,0,1,0,3,1,0,2,624,48,2614
6,5,192.74,Y,1080,0,1,1,3,1,0,2,484,24,2696
5,5,220.88,N,789,0,1,0,2,1,0,1,200,57,1946
10,5,253.4,Y,2020,0,2,1,3,1,1,3,900,0,8073.22
6,6,217.96,Y,1378,741,2,1,3,1,1,2,583,37,3176
7,5,213.16,Y,1277,1067,2,1,3,1,1,3,889,12,5316
6,5,199.62,Y,882,914,2,1,3,1,0,2,546,9,4236
7,9,227.36,Y,1276,804,1,1,3,1,2,1,282,5,4696
4,7,225,N,694,600,2,0,3,2,0,0,0,8,2141
6,6,248.76,Y,1244,0,1,1,3,1,2,1,336,50,3016
6,7,109,Y,1004,660,2,0,3,1,2,2,420,56,3196
10,5,810.88,Y,3138,1538,3,1,3,1,1,3,884,-1,3711
7,5,244.74,Y,1383,1015,2,1,3,1,1,3,834,10,6331
7,5,159,Y,1266,0,2,0,3,1,1,2,453,1,3536
5,7,275,Y,928,0,1,0,2,1,0,1,252,7,2656
9,5,307.96,Y,1476,1237,2,1,3,1,1,3,858,0,8941.22
4,7,190.96,Y,605,0,1,0,2,1,0,0,0,5,1736
6,3,662.36,Y,2515,0,3,0,4,2,2,2,484,32,4028.48
6,5,213,Y,1509,0,2,0,3,1,1,2,600,19,3516
6,8,132.1,Y,751,611,2,0,3,1,0,2,502,9,2576
5,7,153,Y,827,0,1,0,2,1,1,1,392,3,2166
1,3,109,N,334,0,1,0,1,1,0,0,0,57,802
8,5,190.12,Y,707,707,2,1,3,1,1,2,403,2,3576
5,7,149,Y,820,527,1,0,3,1,0,0,0,17,2166
7,5,187.48,Y,880,844,2,1,3,1,0,2,527,9,3776
4,5,263.7,Y,864,0,1,0,3,1,0,2,576,36,2241
5,5,240.06,Y,1159,0,1,1,3,1,1,1,336,38,3176
8,5,237.46,Y,1601,0,2,0,3,1,1,2,670,8,5456
9,5,301.02,Y,1838,0,2,0,2,1,1,3,765,3,6316
8,5,229,Y,997,1288,2,1,4,1,1,3,648,7,4976
7,5,211.8,Y,1680,0,2,0,3,1,1,2,583,10,4281
7,5,90.16,Y,767,0,1,0,1,1,0,1,367,9,2676
7,5,351.08,Y,664,832,2,1,3,1,1,2,426,0,3609.3
7,5,285.74,Y,1377,806,2,1,4,1,0,3,786,18,4596
6,7,183.74,Y,915,720,1,1,3,1,1,2,440,57,4216
5,7,153.88,Y,768,0,1,0,2,1,0,2,624,37,2606
5,7,173.7,Y,825,0,1,0,2,1,0,2,720,13,2516
7,5,196.5,Y,912,1182,2,1,4,1,1,2,615,5,5276
6,6,89.86,Y,1069,0,2,0,2,1,0,2,440,31,2816
5,6,129,Y,928,0,1,0,3,1,0,1,288,51,2266
8,5,231.92,Y,1717,0,2,0,3,1,1,3,908,3,5126
4,5,184.54,Y,1126,0,2,0,2,1,0,2,520,6,2176
7,5,221.5,Y,1006,1040,2,1,3,1,1,3,871,4,5696
5,6,136.6,Y,1048,0,1,0,2,1,1,1,280,56,2276
5,5,306,Y,1092,0,1,0,2,1,1,1,299,49,2836
4,6,229.8,Y,897,439,1,1,3,1,0,1,570,56,2176
7,5,446.44,Y,729,717,2,1,3,1,1,2,406,11,3516
7,5,72.92,Y,1557,0,2,0,2,1,1,2,420,2,4696
5,6,235.82,Y,1392,0,1,1,3,1,1,2,528,14,2446
5,5,209.2,Y,1389,0,1,0,2,1,1,2,418,31,3416
5,6,287.14,Y,996,0,1,0,3,1,1,0,0,39,2176
6,7,444.6,Y,1163,511,2,0,4,1,1,2,396,58,3716
7,5,275.92,Y,1166,1129,2,1,4,1,1,2,590,6,5376
6,4,146.16,N,841,806,1,1,4,1,0,1,216,60,2576
9,5,232.96,Y,1134,1370,2,1,4,1,1,3,656,1,6516
7,5,212.42,Y,1535,0,2,0,3,1,0,2,532,6,4296
8,8,255.54,Y,1496,636,1,1,1,1,1,2,612,0,6348
5,5,149.64,Y,943,0,1,0,2,1,2,2,600,27,2735.2
5,5,271.02,Y,1728,0,2,0,6,2,0,2,576,43,2868
6,6,155.64,Y,864,0,1,0,2,1,0,1,288,47,2416
7,5,272.18,Y,846,846,2,1,3,1,0,2,650,0,4506
7,5,208.34,Y,774,656,2,1,3,1,1,2,400,7,3416
5,7,219,Y,576,533,1,0,3,1,0,1,288,2,2796
5,5,178.6,Y,832,384,1,0,2,1,0,1,336,58,2386
7,7,134.84,Y,877,600,2,0,3,1,1,1,216,59,2916
5,6,244.54,Y,1320,0,1,0,3,1,2,2,564,40,3306
7,5,81.08,Y,703,689,2,0,2,1,0,2,540,1,2936
5,5,252,N,1050,745,2,0,4,1,0,1,352,54,2646
6,6,300.7,Y,1429,0,1,0,3,1,2,2,572,20,3654
8,5,263.08,Y,2042,0,2,1,3,1,1,3,1390,0,5081.86
6,5,245.82,Y,816,0,1,0,3,1,0,0,0,17,2386
10,9,279,Y,1521,1254,3,1,3,1,1,2,880,8,6516
4,7,131.4,Y,989,584,1,0,3,1,0,1,240,14,2676
8,5,237.86,Y,2028,0,2,0,2,1,2,3,880,0,7414
6,7,214.34,Y,838,0,1,0,2,1,0,1,275,8,2616
5,6,183.8,Y,860,0,1,0,2,1,0,2,528,27,2756
5,8,510.9,Y,1473,0,1,0,1,1,2,1,452,6,2876
5,6,191,Y,779,0,1,0,2,1,0,1,308,48,1606
7,5,175.4,Y,770,812,2,1,3,1,0,2,520,4,3734
10,5,278.56,Y,1728,568,2,1,3,1,1,3,842,1,9055
5,8,141,Y,816,0,1,0,2,1,0,2,816,5,2776
6,5,97.7,Y,848,0,1,0,1,1,0,2,420,6,2816
5,6,168.8,Y,924,0,1,0,3,1,0,1,280,33,2216
8,5,235.04,Y,1826,0,2,0,3,1,1,3,758,0,6396
6,7,81,N,684,684,1,0,3,1,0,1,216,13,2306.08
7,5,87.44,Y,1402,0,0,2,2,1,1,3,648,0,3900.02
5,6,268.68,Y,1647,0,2,0,3,1,1,2,621,29,4366
6,6,48,Y,716,840,2,1,3,1,1,2,452,28,3036
8,5,227.54,Y,1058,846,2,1,3,1,1,2,736,1,5516
6,6,189,Y,780,595,1,1,3,1,1,1,544,57,2836
8,5,209.82,Y,927,988,2,1,3,1,1,2,506,14,4416
7,5,72.64,Y,600,600,2,1,2,1,0,2,480,5,3036
7,5,265.06,Y,1494,0,2,0,3,1,1,2,530,6,4436
7,6,281,Y,1186,800,2,1,3,1,3,2,486,19,4116
5,5,258.28,Y,1040,0,1,0,3,1,0,2,576,13,3056
5,8,165,Y,1112,896,3,0,3,1,0,1,230,4,4516
8,6,252.36,Y,1940,1254,2,1,4,1,2,2,380,9,7198
4,5,167.86,Y,1029,0,1,0,3,1,0,1,261,46,2386
9,5,230,Y,1476,677,2,1,3,1,2,3,736,9,6276
6,6,216.9,Y,1032,0,2,0,3,1,1,2,564,29,2976
8,5,246.7,Y,1299,573,2,1,3,1,1,2,531,8,5246
5,5,177.04,Y,1120,0,1,0,3,1,0,0,0,0,2956
4,6,38.82,Y,630,0,1,0,1,1,0,0,0,38,1526
6,7,185,Y,1054,0,1,0,3,1,0,2,480,47,2766
6,5,166.22,Y,807,702,2,1,3,1,1,2,393,3,3680
6,6,153.54,Y,832,0,1,0,2,1,0,2,528,54,2126
9,5,242.88,Y,1828,0,2,0,3,1,1,3,774,0,6312.26
8,5,253.88,Y,1482,780,2,1,4,1,2,3,749,5,6116
3,3,173.96,N,864,0,1,0,2,1,0,0,0,58,1356
6,7,225,Y,1548,1066,2,1,4,1,1,2,624,11,4816
5,6,150.28,Y,980,0,1,0,3,1,0,2,484,32,2716
6,5,51.34,Y,756,756,2,1,2,1,1,2,440,7,3386
6,5,217,Y,1012,778,1,2,4,1,1,2,484,34,3319
6,6,209,Y,1116,0,1,1,3,1,0,2,440,48,3216
5,5,255.84,Y,1422,0,1,0,3,1,1,1,286,29,2814
6,6,201,Y,1520,0,1,0,3,1,2,1,364,38,3076
5,5,241.12,Y,1040,1040,1,2,5,1,2,2,504,38,2716
6,5,189.4,Y,1350,0,1,1,3,1,0,2,520,44,3386
5,6,189,Y,1089,661,1,0,3,1,0,1,240,15,2496
8,5,100.8,Y,1554,0,2,0,2,1,1,2,627,1,4206
7,5,247,Y,1411,0,2,0,3,1,1,2,544,32,1666
5,7,194,Y,1056,0,1,0,3,1,0,1,260,2,2804
6,5,148.58,Y,1056,0,0,0,0,2,0,2,576,30,2896
6,7,226.92,Y,1440,1440,2,0,8,2,0,0,0,12,4016
2,3,131.4,N,800,0,1,0,1,1,1,0,0,59,1216
5,4,129,Y,811,576,2,0,3,2,0,1,256,55,1876
5,7,184.54,Y,796,0,1,0,2,1,0,0,0,58,1716
8,5,88.64,Y,1567,0,2,0,1,1,1,3,648,0,5307.22
8,5,262.54,Y,1518,0,1,1,1,1,1,2,588,4,5496
7,5,150,Y,1057,872,2,1,3,1,1,2,650,6,4536
8,7,286.2,Y,2000,704,2,1,4,1,3,2,538,14,6916
5,5,224.86,Y,780,840,2,1,4,1,0,2,462,38,3056
9,5,192.74,Y,1766,0,2,1,2,1,1,3,478,0,7433.56
6,5,219.6,Y,981,0,1,1,3,1,0,2,576,36,2881
5,5,153,Y,1048,0,1,0,3,1,0,2,420,58,1982
6,5,218.04,Y,1094,0,1,0,3,1,2,2,495,55,3116
6,5,163,Y,1051,788,1,1,4,1,1,2,442,44,3116
4,6,47.72,Y,630,0,1,0,1,1,0,0,0,37,1706
7,6,171.5,Y,822,843,2,1,3,1,0,2,562,1,4135
4,5,190.68,Y,755,755,1,0,4,1,1,1,296,59,2176
7,5,184,Y,909,807,2,1,2,1,1,2,512,13,3836
6,7,215.4,Y,756,713,1,0,3,1,0,1,216,13,2716
8,6,217.74,Y,2113,0,2,1,2,1,1,3,839,13,7016
6,5,42.6,Y,525,567,1,1,3,1,0,1,264,39,1776
5,7,209.14,Y,1053,0,1,1,3,1,0,1,312,2,2926
7,6,153,Y,851,651,1,1,3,1,1,1,270,8,2996
6,5,359.06,Y,912,546,1,0,3,1,1,1,330,60,1966
5,7,207.74,Y,1486,0,1,0,3,1,0,2,480,10,3356
7,7,256.68,Y,1142,793,2,1,3,1,1,2,550,31,3974
8,7,940.78,Y,1686,762,2,1,4,1,1,3,711,4,8056
6,3,280.2,Y,1392,0,1,0,2,1,2,2,576,41,2216
4,5,209.24,Y,1181,0,2,0,3,1,0,2,588,36,2766
8,5,426.92,Y,2097,0,1,1,1,1,1,3,1134,0,8476
8,5,232.88,Y,1454,482,2,1,3,1,1,2,504,6,4626
6,5,378,Y,1465,915,2,1,3,1,1,2,596,28,2596
6,5,171.5,Y,1679,0,2,0,3,1,1,2,575,10,3886
5,6,292.5,Y,1437,0,1,1,3,1,1,2,576,19,3376
4,5,241,Y,1180,0,1,0,2,1,1,1,252,56,2766
6,5,181.66,Y,738,738,2,1,3,1,0,2,540,4,3486
6,6,141.58,N,697,672,2,0,3,1,0,1,300,59,2088
6,6,234,Y,1208,0,1,1,3,1,1,2,546,29,3316
6,7,297.84,Y,1839,0,2,0,3,1,2,2,416,3,5166
6,6,193,Y,1136,0,1,0,3,1,1,1,384,43,2816
6,6,54.78,Y,855,586,2,1,3,1,1,2,440,31,2986
4,2,201,N,1095,679,2,0,4,2,0,3,779,56,1756
5,8,189.44,Y,792,0,1,0,2,1,0,1,240,3,2206
8,5,245.88,Y,2046,0,2,1,3,1,1,3,834,1,7466
5,5,207.9,Y,988,0,1,0,3,1,0,2,572,46,2586
6,5,169.24,Y,923,0,2,0,2,1,1,1,264,30,2876
5,5,99,Y,848,672,1,0,3,1,0,1,281,9,3204.68
6,5,66.74,Y,1291,0,1,0,2,1,1,2,431,11,3476
9,5,233.96,Y,1668,0,2,0,3,1,1,3,702,5,5716
7,5,344.4,Y,1195,644,2,1,4,1,0,2,486,12,4436
7,5,110.24,Y,1190,900,2,0,3,1,1,2,577,23,4166
7,6,213.14,Y,874,887,3,0,3,1,0,2,578,0,4573.5
7,5,111.1,Y,551,551,2,1,2,1,0,2,480,3,2992
8,6,170.78,Y,1419,0,2,0,2,1,1,2,567,0,7856
6,5,160.54,Y,1362,0,2,0,2,1,1,2,460,1,3910
6,5,97.52,Y,848,0,1,0,1,1,1,2,420,4,2836
10,6,439.7,Y,2444,1872,3,1,4,1,2,3,832,12,15116
7,5,532.56,Y,1238,1281,2,1,4,1,2,2,628,16,6716
5,6,117,Y,1073,0,1,0,2,1,0,1,326,38,2185.6
5,6,131.4,Y,1067,472,1,1,3,1,0,2,576,59,2846
6,6,285.22,Y,1137,0,2,0,2,1,1,2,551,19,3536
5,7,129,Y,616,0,1,0,2,1,0,1,205,56,1796
5,7,137.4,Y,1148,0,1,0,2,1,0,1,308,54,2486
5,8,178,Y,894,0,1,0,3,1,1,1,336,1,2786
7,5,94.64,Y,1391,0,2,0,2,1,0,2,530,4,3936
8,5,295.62,Y,1800,0,2,0,3,1,1,3,765,4,6266
7,5,201,Y,1164,0,1,1,3,1,0,2,528,37,2816
8,5,257.76,Y,1264,1312,2,1,4,1,1,3,666,0,7254.38
5,9,161.6,Y,1032,780,2,0,4,2,1,2,672,14,2816
7,5,177,Y,1484,0,2,0,3,1,0,2,606,5,4276
4,5,121,N,372,720,2,0,3,2,0,0,0,60,1116
7,5,2311.98,Y,1824,0,2,0,2,1,2,2,739,5,6056
8,5,133.8,Y,1324,0,2,0,2,1,1,2,550,3,5096
7,5,189.36,Y,728,728,2,1,3,1,1,2,400,0,3606.8
5,7,152.24,Y,904,0,1,0,3,1,0,1,408,42,2214
3,6,91.6,Y,729,0,1,0,2,1,0,0,0,5,1056
4,7,183.24,Y,859,319,1,0,2,1,0,1,384,60,2071.52
8,5,102.42,Y,1228,0,2,0,2,1,1,2,472,19,3796
4,5,206.46,N,960,0,1,0,3,1,0,2,576,36,2596
6,8,279.34,Y,725,754,2,1,3,1,0,2,475,5,2626
6,5,211.8,Y,1350,0,2,0,3,1,1,2,478,35,3316
7,8,225,Y,1576,978,1,1,3,1,0,2,704,9,3206
5,6,209,Y,1178,0,1,1,3,1,1,2,439,8,3156
7,5,219.84,Y,1325,1093,2,1,3,1,1,3,983,14,6836
5,6,207.4,Y,971,0,1,1,3,1,1,1,300,37,2586
8,5,140.26,Y,1742,0,2,0,2,1,1,2,564,21,5516
6,5,97.52,Y,848,0,1,0,1,1,0,2,420,6,2876
4,7,171.4,Y,864,0,1,0,3,1,0,2,463,39,2506
4,6,172.44,Y,997,473,2,0,4,1,0,1,548,36,2716
9,5,274.72,Y,1698,0,2,0,3,1,1,3,768,1,6416
4,6,148.2,Y,864,0,1,0,3,1,0,2,660,39,2426
6,9,442.9,Y,1680,0,2,0,3,1,1,2,540,2,4456
7,5,155.28,Y,1232,0,2,0,2,1,0,2,632,2,3906
5,5,238.5,Y,1776,0,2,0,4,2,0,3,888,51,2216
4,5,133.8,Y,848,0,1,0,2,1,0,2,539,59,2076
8,5,116.78,Y,1616,0,2,0,2,1,1,2,608,14,4746
7,5,200.8,Y,1146,0,2,0,3,1,1,2,438,4,3766
7,5,237.08,Y,1153,878,2,1,3,1,1,2,541,9,4466
5,6,209,Y,1144,0,1,0,3,1,1,1,264,26,2644
5,5,188.56,Y,948,0,1,0,3,1,0,1,300,39,2176
7,7,225,N,880,888,1,1,2,1,2,2,320,36,3276
3,4,179.88,N,1040,0,2,0,2,2,0,2,400,56,1886
8,5,218.26,Y,901,900,2,1,3,1,1,3,800,1,4814
5,5,225,Y,1200,0,3,0,3,1,0,0,0,21,3596
7,5,195.26,Y,864,864,2,1,3,1,0,2,572,5,3816
5,7,201,Y,768,664,2,0,2,1,0,2,360,5,2656
6,8,144.36,Y,912,0,1,0,3,1,0,1,288,12,2856
7,5,178,Y,1349,0,2,0,3,1,0,2,539,6,3596
5,6,266.72,Y,1464,0,2,0,3,1,1,2,480,10,3516
8,5,116.9,Y,1337,0,2,0,2,1,1,2,462,15,3616
8,9,188.26,Y,1175,1540,3,1,4,1,2,2,831,12,6012
7,5,184.9,Y,980,1276,2,1,4,1,1,2,554,9,4736
7,7,243,N,1320,1320,1,1,4,1,1,4,864,6,5335.58
7,5,220.86,Y,1720,0,2,0,3,1,1,2,527,14,5224
4,3,177.1,N,1088,441,2,0,4,1,0,1,240,59,1976
4,7,185,Y,792,348,1,0,3,1,0,0,0,6,1946
7,5,164,Y,660,660,2,1,3,1,0,2,400,4,3256
6,5,193.72,Y,1494,0,2,0,3,1,0,2,576,9,4356
8,5,213.8,Y,1038,1060,2,1,3,1,1,3,878,1,5526
6,8,167.6,Y,1026,0,1,0,3,1,0,2,440,4,3136
6,5,73.6,Y,742,729,2,1,3,1,0,2,440,10,3466
8,5,224.38,Y,866,902,2,1,3,1,0,2,578,2,4256
6,5,241.32,Y,672,714,2,1,3,1,1,2,440,32,3194
7,5,54.6,Y,757,744,2,1,3,1,0,2,440,9,3604
8,5,254.14,Y,1328,1203,2,1,4,1,1,3,752,12,5816
6,6,191,Y,864,0,1,0,2,1,0,1,300,50,2566
5,5,147.22,Y,1301,0,1,0,2,1,0,2,440,59,2016
7,5,181.8,Y,764,783,2,1,3,1,0,2,614,1,4320
8,5,197.6,Y,1268,1097,2,1,3,1,1,3,856,10,6756
8,5,199.98,Y,1494,0,1,1,2,1,1,2,481,10,5416
9,5,300.74,Y,1506,0,2,0,2,1,1,2,592,0,5298.64
7,5,217.42,Y,980,734,2,1,3,1,1,2,496,22,3946
6,7,259.16,Y,983,767,2,0,4,1,0,1,423,23,3216
7,5,191,Y,1836,0,2,0,3,1,1,2,484,1,4352.74
8,5,1079.08,Y,1690,1589,3,1,4,1,1,3,841,7,10776
5,5,154.04,Y,858,0,1,0,2,1,0,2,576,27,2714
4,5,186.54,Y,1220,0,1,0,2,1,0,2,396,55,2056
6,5,165.38,Y,1117,0,1,0,3,1,1,2,672,34,2156
5,5,212,Y,912,0,1,0,2,1,0,1,275,49,2306
8,5,293.52,Y,1973,0,2,0,3,1,1,3,895,1,7916
6,5,99,Y,1204,0,2,0,2,1,0,2,412,11,3256
7,5,233.2,Y,1614,0,2,0,3,1,0,3,865,0,4446
5,5,276,Y,894,0,1,0,3,1,1,2,440,32,2866
5,5,177,Y,2020,0,2,0,4,2,2,2,630,30,2896
6,5,219.6,Y,1004,0,1,0,2,1,0,2,504,29,2716
7,5,166.5,Y,1253,0,2,0,3,1,1,2,402,11,3536
6,5,152.06,Y,810,793,2,1,3,1,0,2,484,14,3534
7,5,334.7,Y,1430,0,2,0,3,1,0,2,605,7,3758
5,6,191.02,Y,1110,0,1,0,1,1,1,2,602,31,3326
6,6,135,Y,742,742,2,0,3,1,1,0,0,7,2576
6,5,204.8,Y,1342,0,2,0,3,1,1,2,457,42,3246
5,6,225,Y,966,686,2,0,4,1,0,1,416,60,2796
7,5,211.84,Y,956,1128,2,1,4,1,0,2,618,6,4676
4,7,129,Y,901,0,1,0,2,1,0,1,281,8,2174
6,8,253.1,Y,976,1111,2,1,5,1,0,2,444,0,3766
7,5,72.64,Y,1145,0,2,0,2,1,1,2,397,3,3220
6,5,235.66,Y,1062,0,1,0,3,1,2,2,539,31,2952
7,5,207.4,Y,1127,886,2,1,3,1,1,2,455,10,5411.8
8,5,192.16,Y,1496,0,2,0,3,1,0,2,474,0,4516
7,5,225.64,Y,1086,809,2,1,3,1,1,2,409,12,3906
6,6,177,Y,888,676,2,1,3,1,1,2,476,29,3436
6,5,172.94,Y,1285,0,1,1,3,1,1,2,528,30,2886
5,5,162.54,Y,773,0,1,0,2,1,0,1,240,55,2216
9,5,279.36,Y,1966,1174,3,1,4,1,2,3,820,0,9716
5,7,153,Y,981,787,1,1,3,1,2,1,240,57,3516
6,5,264.96,Y,616,1072,2,1,4,1,0,2,603,11,4016
4,7,105,Y,1196,0,1,0,2,1,0,2,440,17,2214
7,5,172.98,Y,728,728,2,1,3,1,1,2,410,3,3796
9,5,286.82,Y,1734,1088,3,1,4,1,1,3,1020,0,11674.66
5,5,189,Y,1128,0,1,0,2,1,0,1,286,52,2376
7,5,254.48,Y,1428,0,2,0,3,1,0,2,554,0,4569.6
5,5,204,Y,980,0,2,0,3,1,0,1,384,39,2726
5,6,436.68,Y,1072,504,1,1,3,1,1,2,528,5,4486
5,5,277,Y,1086,0,1,0,3,1,1,2,484,40,3215
5,5,171,N,1075,1063,2,0,2,3,0,2,360,44,2136
6,6,211.8,Y,1309,0,1,1,3,1,1,2,484,7,3636
6,5,97.76,Y,848,0,1,0,1,1,1,2,420,4,2906
5,5,183.24,N,1044,0,1,0,2,1,0,2,504,58,1135.86
6,6,204,Y,1442,0,1,1,4,1,0,1,301,49,3174
5,7,173.96,Y,686,564,1,1,3,1,0,1,280,56,2336
